ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-17 01:00:00+00:00,33,1,4120856,531.5,533.0,531.25,532.25,60,KEH6
2025-11-17 01:01:00+00:00,33,1,4120856,531.75,532.0,530.25,530.25,88,KEH6
2025-11-17 01:02:00+00:00,33,1,4120856,530.5,530.75,530.5,530.5,6,KEH6
2025-11-17 01:03:00+00:00,33,1,4120856,530.0,530.0,529.75,530.0,18,KEH6
2025-11-17 01:04:00+00:00,33,1,4120856,530.5,530.5,530.25,530.25,3,KEH6
2025-11-17 01:05:00+00:00,33,1,4120856,530.25,530.25,530.25,530.25,3,KEH6
2025-11-17 01:06:00+00:00,33,1,4120856,530.5,530.5,530.5,530.5,2,KEH6
2025-11-17 01:07:00+00:00,33,1,4120856,530.5,531.0,530.5,530.75,6,KEH6
2025-11-17 01:08:00+00:00,33,1,4120856,530.25,530.25,530.0,530.0,53,KEH6
2025-11-17 01:09:00+00:00,33,1,4120856,530.25,530.25,530.25,530.25,7,KEH6
2025-11-17 01:10:00+00:00,33,1,4120856,530.0,530.0,530.0,530.0,16,KEH6
2025-11-17 01:12:00+00:00,33,1,4120856,530.0,530.25,530.0,530.25,17,KEH6
2025-11-17 01:13:00+00:00,33,1,4120856,530.25,530.25,530.25,530.25,5,KEH6
2025-11-17 01:14:00+00:00,33,1,4120856,530.0,530.0,530.0,530.0,1,KEH6
2025-11-17 01:16:00+00:00,33,1,4120856,530.0,530.0,530.0,530.0,1,KEH6
2025-11-17 01:19:00+00:00,33,1,4120856,529.75,529.75,529.75,529.75,2,KEH6
2025-11-17 01:20:00+00:00,33,1,4120856,530.0,530.25,530.0,530.25,2,KEH6
2025-11-17 01:22:00+00:00,33,1,4120856,530.0,530.25,530.0,530.25,3,KEH6
2025-11-17 01:24:00+00:00,33,1,4120856,530.25,530.25,530.25,530.25,1,KEH6
2025-11-17 01:25:00+00:00,33,1,4120856,530.25,530.25,530.25,530.25,1,KEH6
2025-11-17 01:26:00+00:00,33,1,4120856,530.25,530.25,530.0,530.0,10,KEH6
2025-11-17 01:28:00+00:00,33,1,4120856,530.0,530.0,530.0,530.0,2,KEH6
2025-11-17 01:30:00+00:00,33,1,4120856,529.75,529.75,529.75,529.75,13,KEH6
2025-11-17 01:32:00+00:00,33,1,4120856,529.75,529.75,529.75,529.75,1,KEH6
2025-11-17 01:33:00+00:00,33,1,4120856,529.75,529.75,529.75,529.75,1,KEH6
2025-11-17 01:34:00+00:00,33,1,4120856,530.0,530.0,530.0,530.0,3,KEH6
2025-11-17 01:37:00+00:00,33,1,4120856,530.0,530.0,530.0,530.0,4,KEH6
2025-11-17 01:41:00+00:00,33,1,4120856,530.25,530.5,530.25,530.5,4,KEH6
2025-11-17 01:42:00+00:00,33,1,4120856,530.75,530.75,530.75,530.75,1,KEH6
2025-11-17 01:51:00+00:00,33,1,4120856,531.0,531.25,531.0,531.0,23,KEH6
2025-11-17 01:53:00+00:00,33,1,4120856,531.5,531.75,531.5,531.75,21,KEH6
2025-11-17 01:56:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,1,KEH6
2025-11-17 01:57:00+00:00,33,1,4120856,531.5,531.5,531.25,531.25,4,KEH6
2025-11-17 01:59:00+00:00,33,1,4120856,531.25,531.25,531.25,531.25,1,KEH6
2025-11-17 02:00:00+00:00,33,1,4120856,531.0,531.0,531.0,531.0,1,KEH6
2025-11-17 02:01:00+00:00,33,1,4120856,531.25,531.25,531.25,531.25,1,KEH6
2025-11-17 02:05:00+00:00,33,1,4120856,531.0,531.0,531.0,531.0,1,KEH6
2025-11-17 02:08:00+00:00,33,1,4120856,530.75,530.75,530.75,530.75,1,KEH6
2025-11-17 02:09:00+00:00,33,1,4120856,530.75,530.75,530.75,530.75,1,KEH6
2025-11-17 02:10:00+00:00,33,1,4120856,531.0,531.0,531.0,531.0,7,KEH6
2025-11-17 02:12:00+00:00,33,1,4120856,531.25,531.25,531.25,531.25,1,KEH6
2025-11-17 02:14:00+00:00,33,1,4120856,531.0,531.0,531.0,531.0,1,KEH6
2025-11-17 02:19:00+00:00,33,1,4120856,531.0,531.0,531.0,531.0,1,KEH6
2025-11-17 02:27:00+00:00,33,1,4120856,531.0,531.0,531.0,531.0,1,KEH6
2025-11-17 02:30:00+00:00,33,1,4120856,531.25,531.25,531.25,531.25,4,KEH6
2025-11-17 02:39:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,1,KEH6
2025-11-17 02:44:00+00:00,33,1,4120856,531.5,531.5,531.5,531.5,2,KEH6
2025-11-17 02:49:00+00:00,33,1,4120856,532.0,532.0,532.0,532.0,2,KEH6
2025-11-17 02:50:00+00:00,33,1,4120856,532.0,532.0,532.0,532.0,1,KEH6
2025-11-17 02:53:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,4,KEH6
2025-11-17 02:54:00+00:00,33,1,4120856,531.75,532.0,531.75,532.0,2,KEH6
2025-11-17 03:20:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,1,KEH6
2025-11-17 03:25:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,2,KEH6
2025-11-17 03:29:00+00:00,33,1,4120856,531.5,531.5,531.5,531.5,1,KEH6
2025-11-17 03:31:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,1,KEH6
2025-11-17 03:36:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,1,KEH6
2025-11-17 03:40:00+00:00,33,1,4120856,531.5,531.5,531.5,531.5,1,KEH6
2025-11-17 03:51:00+00:00,33,1,4120856,531.5,531.5,531.5,531.5,2,KEH6
2025-11-17 03:55:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,4,KEH6
2025-11-17 03:59:00+00:00,33,1,4120856,531.5,531.5,531.5,531.5,4,KEH6
2025-11-17 04:00:00+00:00,33,1,4120856,531.5,531.5,531.5,531.5,5,KEH6
2025-11-17 04:04:00+00:00,33,1,4120856,531.5,531.5,531.5,531.5,1,KEH6
2025-11-17 04:10:00+00:00,33,1,4120856,531.75,531.75,531.5,531.5,4,KEH6
2025-11-17 04:31:00+00:00,33,1,4120856,531.75,531.75,531.5,531.75,19,KEH6
2025-11-17 04:40:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,6,KEH6
2025-11-17 04:55:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,7,KEH6
2025-11-17 05:00:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,4,KEH6
2025-11-17 05:16:00+00:00,33,1,4120856,531.5,531.5,531.25,531.25,80,KEH6
2025-11-17 05:17:00+00:00,33,1,4120856,531.0,531.0,531.0,531.0,23,KEH6
2025-11-17 05:19:00+00:00,33,1,4120856,531.0,531.0,531.0,531.0,2,KEH6
2025-11-17 05:20:00+00:00,33,1,4120856,531.25,531.25,531.25,531.25,1,KEH6
2025-11-17 05:35:00+00:00,33,1,4120856,531.0,531.0,530.75,530.75,74,KEH6
2025-11-17 05:36:00+00:00,33,1,4120856,530.75,530.75,530.75,530.75,12,KEH6
2025-11-17 05:37:00+00:00,33,1,4120856,530.75,531.0,530.75,531.0,32,KEH6
2025-11-17 05:38:00+00:00,33,1,4120856,530.75,530.75,530.75,530.75,8,KEH6
2025-11-17 05:39:00+00:00,33,1,4120856,530.75,530.75,530.75,530.75,1,KEH6
2025-11-17 05:42:00+00:00,33,1,4120856,530.75,530.75,530.75,530.75,3,KEH6
2025-11-17 05:43:00+00:00,33,1,4120856,531.0,531.0,531.0,531.0,1,KEH6
2025-11-17 05:56:00+00:00,33,1,4120856,531.25,531.25,531.25,531.25,3,KEH6
2025-11-17 05:59:00+00:00,33,1,4120856,531.25,531.25,531.25,531.25,4,KEH6
2025-11-17 06:08:00+00:00,33,1,4120856,532.0,532.0,532.0,532.0,1,KEH6
2025-11-17 06:11:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,2,KEH6
2025-11-17 06:18:00+00:00,33,1,4120856,531.5,531.5,531.5,531.5,1,KEH6
2025-11-17 06:26:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,1,KEH6
2025-11-17 06:33:00+00:00,33,1,4120856,531.5,531.5,531.5,531.5,1,KEH6
2025-11-17 06:36:00+00:00,33,1,4120856,531.5,531.5,531.5,531.5,1,KEH6
2025-11-17 06:42:00+00:00,33,1,4120856,531.75,531.75,531.75,531.75,1,KEH6
2025-11-17 06:49:00+00:00,33,1,4120856,532.0,532.0,532.0,532.0,4,KEH6
2025-11-17 06:50:00+00:00,33,1,4120856,532.0,532.0,532.0,532.0,1,KEH6
2025-11-17 06:52:00+00:00,33,1,4120856,532.0,532.0,532.0,532.0,1,KEH6
2025-11-17 06:58:00+00:00,33,1,4120856,532.25,532.25,532.25,532.25,1,KEH6
2025-11-17 07:06:00+00:00,33,1,4120856,532.0,532.0,532.0,532.0,4,KEH6
2025-11-17 07:10:00+00:00,33,1,4120856,531.5,531.5,531.5,531.5,1,KEH6
2025-11-17 07:15:00+00:00,33,1,4120856,532.25,532.25,532.25,532.25,1,KEH6
2025-11-17 07:21:00+00:00,33,1,4120856,532.75,532.75,532.75,532.75,4,KEH6
2025-11-17 07:22:00+00:00,33,1,4120856,533.0,533.0,533.0,533.0,3,KEH6
2025-11-17 07:23:00+00:00,33,1,4120856,533.0,533.0,533.0,533.0,23,KEH6
2025-11-17 07:25:00+00:00,33,1,4120856,533.0,533.0,533.0,533.0,2,KEH6
2025-11-17 07:32:00+00:00,33,1,4120856,533.0,533.0,533.0,533.0,10,KEH6
2025-11-17 07:37:00+00:00,33,1,4120856,533.25,533.25,533.25,533.25,7,KEH6
2025-11-17 07:39:00+00:00,33,1,4120856,533.5,533.5,533.25,533.25,17,KEH6
2025-11-17 07:41:00+00:00,33,1,4120856,533.25,533.25,533.25,533.25,1,KEH6
2025-11-17 07:42:00+00:00,33,1,4120856,533.5,533.5,533.5,533.5,7,KEH6
2025-11-17 07:44:00+00:00,33,1,4120856,533.5,533.5,533.5,533.5,5,KEH6
2025-11-17 07:45:00+00:00,33,1,4120856,533.5,533.75,533.5,533.5,35,KEH6
2025-11-17 07:46:00+00:00,33,1,4120856,533.5,533.5,533.5,533.5,29,KEH6
2025-11-17 07:48:00+00:00,33,1,4120856,533.5,533.5,533.5,533.5,2,KEH6
2025-11-17 07:50:00+00:00,33,1,4120856,533.25,533.25,533.25,533.25,3,KEH6
2025-11-17 07:51:00+00:00,33,1,4120856,533.5,533.5,533.25,533.25,14,KEH6
